               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033791,            0.013144,           0.0059848,              0.9192,             0.64778,             0.70007,             0.44007,            0.029561,            0.004604,           0.0043806,            0.008845,            0.008845,            0.008845
                  37,            0.033724,            0.013067,           0.0061723,             0.94604,             0.65128,             0.91692,             0.51238,            0.033628,           0.0046098,           0.0073873,            0.008812,            0.008812,            0.008812
                  38,            0.033458,            0.012602,           0.0059661,             0.91049,             0.64869,             0.80639,             0.54451,            0.032497,            0.004406,             0.00427,            0.008779,            0.008779,            0.008779
                  39,            0.034116,            0.012902,           0.0055685,             0.80101,             0.61423,             0.89249,             0.59262,            0.032241,           0.0045452,            0.010058,            0.008746,            0.008746,            0.008746
                  40,            0.033851,            0.012855,           0.0057236,             0.90222,              0.5835,             0.66994,             0.41088,            0.030356,           0.0047538,           0.0056649,            0.008713,            0.008713,            0.008713
                  41,            0.033212,            0.012781,           0.0052892,             0.94114,             0.66236,             0.77776,             0.51879,            0.028047,           0.0042838,           0.0033854,             0.00868,             0.00868,             0.00868
                  42,            0.032911,            0.012893,           0.0049607,             0.91243,             0.62554,             0.68694,             0.43683,            0.031305,           0.0044669,           0.0068011,            0.008647,            0.008647,            0.008647
                  43,            0.032728,            0.013036,           0.0048057,             0.95083,             0.68929,             0.70093,             0.47649,            0.027595,           0.0041593,           0.0046586,            0.008614,            0.008614,            0.008614
                  44,            0.033105,            0.012973,            0.005391,             0.92252,             0.63187,             0.73313,             0.48037,            0.031082,           0.0044827,           0.0067192,            0.008581,            0.008581,            0.008581
                  45,            0.032825,            0.012786,           0.0048866,             0.66214,             0.89326,             0.82813,             0.56459,            0.027292,           0.0041407,           0.0047806,            0.008548,            0.008548,            0.008548
                  46,            0.032429,            0.012892,           0.0055198,             0.90773,             0.64425,              0.6783,             0.44368,            0.030038,           0.0042465,           0.0043308,            0.008515,            0.008515,            0.008515
                  47,            0.032407,            0.012423,           0.0054297,              0.9469,             0.68735,             0.73994,             0.48191,            0.028007,           0.0041572,           0.0039344,            0.008482,            0.008482,            0.008482
                  48,            0.032968,            0.012532,           0.0052454,             0.92593,             0.64116,             0.69774,             0.45134,            0.030878,           0.0042199,           0.0046559,            0.008449,            0.008449,            0.008449
                  49,            0.031983,            0.012915,           0.0047694,             0.82132,             0.70051,             0.95229,             0.65746,            0.030177,           0.0042193,           0.0037528,            0.008416,            0.008416,            0.008416
                  50,            0.032084,            0.012588,           0.0047206,             0.92379,             0.65085,             0.73754,             0.45382,            0.030941,           0.0043853,           0.0052316,            0.008383,            0.008383,            0.008383
                  51,            0.032087,             0.01276,           0.0046981,             0.96652,             0.65642,              0.7805,             0.53687,             0.02843,           0.0041055,           0.0039377,             0.00835,             0.00835,             0.00835
                  52,             0.03212,            0.012459,           0.0052708,             0.77238,             0.88023,             0.80173,             0.55185,            0.031821,           0.0042149,           0.0085253,            0.008317,            0.008317,            0.008317
                  53,            0.032496,            0.012562,           0.0049664,             0.69382,              0.8956,              0.7459,             0.48043,            0.030632,           0.0044729,           0.0042635,            0.008284,            0.008284,            0.008284
                  54,            0.031859,            0.012182,           0.0045169,             0.84621,             0.91322,             0.93973,             0.65537,            0.028747,           0.0042704,           0.0034979,            0.008251,            0.008251,            0.008251
                  55,            0.031086,            0.012286,           0.0047097,             0.62874,             0.96295,             0.78728,             0.52528,            0.028613,           0.0042219,           0.0037554,            0.008218,            0.008218,            0.008218
                  56,            0.031304,            0.012658,           0.0040699,             0.65806,             0.64962,              0.7413,              0.4758,            0.030797,           0.0043039,           0.0065351,            0.008185,            0.008185,            0.008185
                  57,            0.031886,            0.012366,           0.0041842,             0.79355,              0.8225,             0.77807,             0.50409,            0.030579,           0.0045161,           0.0061575,            0.008152,            0.008152,            0.008152
                  58,             0.03158,            0.012584,           0.0045525,             0.92393,             0.92743,             0.96774,             0.70646,            0.026323,           0.0040493,           0.0020175,            0.008119,            0.008119,            0.008119
                  59,            0.030922,            0.012363,            0.004558,             0.77242,             0.90552,             0.79932,             0.56467,            0.027521,           0.0043571,           0.0030299,            0.008086,            0.008086,            0.008086
                  60,            0.030861,            0.012288,           0.0045147,             0.94903,             0.66936,              0.7083,             0.47659,            0.028181,           0.0043814,           0.0036327,            0.008053,            0.008053,            0.008053
                  61,             0.03138,            0.012305,           0.0037297,             0.93609,             0.60564,             0.75678,             0.49987,            0.028225,           0.0045118,            0.007383,             0.00802,             0.00802,             0.00802
                  62,            0.031399,            0.012528,           0.0043491,             0.70618,             0.62147,             0.72086,             0.45272,            0.029022,           0.0042984,           0.0053997,            0.007987,            0.007987,            0.007987
                  63,             0.03052,            0.012242,           0.0036186,             0.82195,             0.94992,             0.84565,             0.57389,             0.02897,           0.0040607,           0.0023189,            0.007954,            0.007954,            0.007954
                  64,            0.030361,            0.011938,           0.0038647,             0.71701,             0.89837,              0.7652,             0.50604,            0.028731,           0.0042932,           0.0052033,            0.007921,            0.007921,            0.007921
                  65,            0.030702,            0.012321,           0.0044112,             0.83794,             0.85368,             0.92042,             0.61166,             0.02831,           0.0041756,           0.0051715,            0.007888,            0.007888,            0.007888
                  66,            0.030353,            0.012103,           0.0041636,             0.61783,              0.9459,             0.93424,             0.55882,            0.027918,           0.0041654,           0.0037439,            0.007855,            0.007855,            0.007855
                  67,            0.030333,            0.012007,            0.004083,             0.94946,             0.69332,             0.76624,             0.51614,            0.028117,           0.0041993,           0.0033772,            0.007822,            0.007822,            0.007822
                  68,            0.030184,            0.011889,           0.0039903,             0.89007,             0.91479,             0.95057,             0.64413,            0.029936,           0.0042114,           0.0053536,            0.007789,            0.007789,            0.007789
                  69,            0.030026,            0.011888,           0.0036205,             0.89324,             0.94645,             0.95548,              0.6543,            0.028075,            0.004037,           0.0029979,            0.007756,            0.007756,            0.007756
                  70,            0.030461,            0.012113,           0.0038291,             0.90687,             0.85954,             0.93727,             0.63235,            0.027944,           0.0042333,           0.0044404,            0.007723,            0.007723,            0.007723
                  71,            0.030265,             0.01179,           0.0045192,             0.84092,             0.89554,              0.9577,             0.64787,            0.027202,           0.0041326,            0.003006,             0.00769,             0.00769,             0.00769
                  72,            0.030431,            0.012127,           0.0037609,             0.72756,             0.92096,              0.9446,             0.63743,            0.027437,           0.0041313,           0.0062096,            0.007657,            0.007657,            0.007657
                  73,            0.030081,            0.011791,           0.0038397,             0.95054,             0.91686,             0.95923,             0.70387,            0.027394,           0.0039667,            0.001924,            0.007624,            0.007624,            0.007624
                  74,            0.029581,            0.011693,           0.0036922,             0.92413,             0.84565,             0.95274,             0.62022,            0.026523,            0.004145,           0.0033549,            0.007591,            0.007591,            0.007591
                  75,            0.029572,            0.012003,           0.0034567,             0.95669,             0.92363,             0.97109,             0.72236,            0.026739,           0.0041788,             0.00303,            0.007558,            0.007558,            0.007558
                  76,            0.029925,            0.012278,           0.0040722,             0.94513,             0.65649,              0.9451,              0.6565,            0.027092,           0.0040499,           0.0052547,            0.007525,            0.007525,            0.007525
                  77,            0.029715,            0.012024,            0.003575,             0.92957,             0.93022,             0.95048,             0.64652,            0.028754,            0.003931,           0.0030023,            0.007492,            0.007492,            0.007492
                  78,            0.029402,             0.01145,           0.0031508,             0.95731,             0.68538,             0.82702,             0.59345,            0.027522,           0.0041209,           0.0033184,            0.007459,            0.007459,            0.007459
                  79,            0.029895,            0.012081,           0.0036085,             0.77442,             0.91696,              0.7957,             0.52644,            0.028126,           0.0039922,           0.0027178,            0.007426,            0.007426,            0.007426
                  80,             0.02986,            0.011838,            0.003348,             0.95456,             0.69059,             0.75424,             0.53972,            0.027471,           0.0040224,           0.0025604,            0.007393,            0.007393,            0.007393
                  81,            0.029696,            0.011768,           0.0037688,             0.72244,             0.95795,             0.79195,             0.55998,            0.026571,           0.0040748,           0.0023066,             0.00736,             0.00736,             0.00736
                  82,            0.028648,            0.011665,           0.0034317,             0.95704,             0.92992,              0.9679,             0.73178,             0.02731,           0.0040152,           0.0019014,            0.007327,            0.007327,            0.007327
                  83,            0.029836,             0.01177,           0.0038048,             0.97658,              0.6695,             0.95683,             0.66502,            0.026462,           0.0039846,           0.0050904,            0.007294,            0.007294,            0.007294
                  84,            0.029171,            0.011609,           0.0033468,             0.94433,              0.6938,              0.9598,             0.66253,            0.027336,           0.0038636,           0.0028274,            0.007261,            0.007261,            0.007261
                  85,            0.029058,            0.011265,           0.0036798,             0.77962,             0.95457,             0.96121,               0.665,            0.026408,           0.0041984,           0.0029483,            0.007228,            0.007228,            0.007228
                  86,            0.029431,            0.012023,           0.0033407,             0.92314,              0.8951,             0.94019,             0.59155,            0.026603,           0.0041355,           0.0034223,            0.007195,            0.007195,            0.007195
                  87,            0.028879,            0.011511,           0.0028517,             0.92904,             0.88083,             0.94135,              0.6768,            0.027796,           0.0040776,           0.0039796,            0.007162,            0.007162,            0.007162
                  88,            0.028359,            0.011411,           0.0034411,             0.94548,              0.9242,             0.96683,             0.70254,             0.02585,           0.0040164,            0.002003,            0.007129,            0.007129,            0.007129
                  89,            0.028704,            0.011319,           0.0032599,             0.95789,              0.9315,             0.96105,             0.66964,            0.026392,           0.0040673,           0.0023211,            0.007096,            0.007096,            0.007096
                  90,            0.028739,            0.011786,           0.0033919,              0.9583,             0.87088,             0.96433,             0.68651,            0.027019,           0.0040423,            0.002083,            0.007063,            0.007063,            0.007063
                  91,            0.028855,            0.011493,           0.0037153,             0.84568,             0.93612,             0.82759,             0.55793,            0.028327,           0.0039603,           0.0024896,             0.00703,             0.00703,             0.00703
                  92,             0.02895,            0.011679,           0.0035559,             0.68674,             0.96132,             0.79443,             0.56048,             0.02552,           0.0038505,           0.0024406,            0.006997,            0.006997,            0.006997
                  93,             0.02841,            0.011514,           0.0031523,             0.82565,             0.89217,             0.82053,              0.5858,            0.026077,           0.0039873,           0.0039095,            0.006964,            0.006964,            0.006964
                  94,            0.028084,             0.01144,            0.003259,             0.98311,             0.68447,             0.73076,             0.49278,            0.026425,           0.0040262,           0.0030073,            0.006931,            0.006931,            0.006931
                  95,            0.027977,            0.011732,           0.0031392,             0.95049,             0.92249,             0.95897,             0.71535,            0.025753,           0.0040726,           0.0018843,            0.006898,            0.006898,            0.006898
                  96,            0.028341,            0.011256,            0.003284,             0.83557,             0.90916,             0.81861,             0.57717,            0.024861,           0.0042352,           0.0033739,            0.006865,            0.006865,            0.006865
                  97,             0.02883,            0.011459,           0.0028393,             0.80952,             0.94673,             0.83898,             0.60028,            0.025397,           0.0042765,           0.0020543,            0.006832,            0.006832,            0.006832
                  98,            0.027871,            0.011446,           0.0027885,             0.95994,             0.90966,             0.94847,             0.69099,            0.025062,           0.0041217,            0.002214,            0.006799,            0.006799,            0.006799
                  99,            0.028347,            0.011503,           0.0034607,             0.86793,             0.92143,             0.93609,             0.68706,            0.026289,           0.0040668,            0.005254,            0.006766,            0.006766,            0.006766
                 100,            0.028438,            0.011232,           0.0030578,              0.8799,             0.87436,             0.94132,             0.66403,            0.025915,           0.0041069,           0.0049093,            0.006733,            0.006733,            0.006733
                 101,            0.028501,            0.011306,           0.0035035,             0.94199,             0.91767,              0.9653,             0.69203,            0.026751,           0.0039754,           0.0022486,              0.0067,              0.0067,              0.0067
